ClientId,Broker,Department,CoverNumber,ChurnPropensityScore,RiskClassonPreChurnPolicies,BusinessDescription,VersionNumber,EffectiveDate,ExpiryDate,Premium,TotalIncome,StampDuty,FireServicesLevy,InsurerCharge,BrokerCharge,BrokerAdminFeeGST,AdminFee,Discount,GSTonDiscount,GSTonPremium,Brokerage,GSTonBrokerage,DuebyClient,PaidtoDate,SubAgentIncome,ThirdPartyBrokerRate,ThirdPartyBrokerCommission,IncomeClass,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10
ADE02OM8,DonnaR,BIF,507492,0.47,Industrial Special Risks MA&R,General Insurance,3,2019-05-03,2019-08-03,1403.42,330.68,138.94,0,0,50,5,0,0,0,140.34,280.68,28.07,1737.7,-1737.7,0,0,0,ROO,Commercial Property,Business Pack,General All Lines,Fee Invoice,--,Combined General Liability,Farm Package,Commercial Motor,NECAGuard Combined Liability Insurance,CGU Business Package Sunrise Wholesale
ADE72458,Lonetta,ACR,344277,0.970333333,Aviation,TRN-Services to Air ,27,2018-08-07,2019-08-07,500.01,225,27.5,0,0,150,15,0,0,0,50,75,7.5,742.51,-742.51,0,0,0,RRN,"Accident, Health and Travel",Commercial Motor,Personal Lines,--,Construction,Business Pack,Commercial Liability,Commercial Property,General All Lines,Marine Transit
BRI02SC2,DonnaR,BIF,520719,0.556309524,Fee Invoice,General Insurance,1,2019-05-06,2019-08-06,0,100,0,0,0,100,10,0,0,0,0,0,0,110,0,0,0,0,ROO,Commercial Property,Business Pack,General All Lines,--,Industrial Special Risks MA&R,Combined General Liability,Farm Package,Commercial Motor,NECAGuard Combined Liability Insurance,CGU Business Package Sunrise Wholesale
BRI02SC3,DonnaR,BIF,520721,0.556309524,Fee Invoice,General Insurance,1,2019-05-06,2019-08-06,0,100,0,0,0,100,10,0,0,0,0,0,0,110,0,0,0,0,ROO,Commercial Property,Business Pack,General All Lines,--,Industrial Special Risks MA&R,Combined General Liability,Farm Package,Commercial Motor,NECAGuard Combined Liability Insurance,CGU Business Package Sunrise Wholesale
MEL00FJ4,MichaeAt,MPR,254456,0.462666667,Professional Risks,P&B-Architecture Srv,10,2018-08-03,2019-08-03,900,570,0,0,0,300,30,0,0,0,90,270,27,1320,-1320,0,0,0,RRN,--,Directors' and Officers' Liability,Commercial Liability,"Accident, Health and Travel",General All Lines,Scheduled Contractors' Equipment,Compulsory Third Party,Public and Products Liability,Fee Invoice,Commercial Property
MEL00URK,VishalC,MPR,309879,0.800429288,Professional Risks,P&B-Business Managem,7,2018-08-01,2019-08-01,2280,984,250.8,0,0,0,30,300,0,0,228,684,68.4,3088.8,0,0,0,0,RRN,--,Directors' and Officers' Liability,Commercial Liability,"Accident, Health and Travel",General All Lines,Scheduled Contractors' Equipment,Compulsory Third Party,Public and Products Liability,Fee Invoice,Commercial Property
MEL00X16,PeterV,MCR,486214,0.918209533,Commercial Liability,MIN-Other Mining - O,1,2018-08-01,2019-08-01,3361,704.15,332.74,0,0,200,20,0,0,0,336.1,504.15,50.42,4249.84,0,0,0,0,RRN,General All Lines,Commercial Motor,Commercial Property,Workers Compensation,--,Allianz Alive Commercial Motor,Marine Transit,Houseowners and Householders,Farm Package,Fee Invoice
MEL025VP,Mayoura,MCM,486126,0.95,Commercial Property,HLT-Health Services ,1,2018-08-01,2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RRN,Business Pack,Commercial Liability,Industrial Special Risks,--,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
MEL025Y2,Mayoura,MCM,444016,0.802380952,Business Pack,CON-Plumbing Service,3,2018-08-04,2019-08-04,2140.82,569.8,108.15,271.04,0,200,20,0,0,0,241.18,535.22,53.52,2981.19,0,165.42,0,0,RRN,--,Industrial Special Risks,Commercial Liability,Commercial Property,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
MEL026CF,VishalC,MCM,444586,0.864904709,Business Pack,PER-Hairdressing,3,2018-08-01,2019-08-01,2685.41,675.3,295.41,0,0,200,20,0,0,0,268.56,671.35,67.13,3469.38,0,196.05,0,0,RRN,--,Industrial Special Risks,Commercial Liability,Commercial Property,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
MEL026E8,VishalC,MCM,444656,0.864904709,Business Pack,ACM-Cafes and Restrn,3,2018-08-01,2019-08-01,2433.94,626.59,294.52,0,0,200,20,0,0,0,243.41,608.5,60.84,3191.87,0,181.91,0,0,RRN,--,Industrial Special Risks,Commercial Liability,Commercial Property,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
MEL026QI,MichaelC,MCM,445106,0.864904709,Business Pack,PER-Hairdressing,3,2018-08-01,2019-08-01,1043.37,318.41,126.26,0,0,150,15,0,0,0,104.34,260.85,26.1,1438.97,0,92.44,0,0,RRN,--,Industrial Special Risks,Commercial Liability,Commercial Property,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
MEL027VI,MicaJ,MPR,505245,0.507,Commercial Liability,Business Services n.e.c.,0,2018-08-02,2019-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RRN,Professional Risks,Directors' and Officers' Liability,--,"Accident, Health and Travel",General All Lines,Scheduled Contractors' Equipment,Compulsory Third Party,Public and Products Liability,Fee Invoice,Commercial Property
MEL02AE5,VishalC,MCM,459729,0.864904709,Business Pack,P&B-Cleaning Service,7,2018-08-02,2019-08-02,1042.86,360.74,114.72,0,0,100,10,0,0,0,104.28,260.74,26.08,1371.86,0,0,0,0,RRN,--,Industrial Special Risks,Commercial Liability,Commercial Property,Allianz Alive Commercial Motor,Commercial Motor,Personal Lines,Marine,"Accident, Health and Travel",Public and Products Liability
MEL02IN7,Mayoura,MCM,484848,1,Business Pack,P&B-Business Service,1,2018-08-01,2019-08-01,369,233.02,36.53,0,0,150,15,0,0,0,36.9,83.02,8.31,607.43,-607.43,0,0,0,RRN,--,Commercial Liability,Industrial Special Risks,Commercial Property,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
MEL02IPZ,JamesC,MCM,485214,0.864904709,Business Pack,ACM-Cafes and Restrn,10,2018-08-02,2019-08-02,22509.63,5164.6,2468.84,0,0,100,10,0,0,0,2250.97,5064.6,506.46,27339.44,0,0,0,0,RRN,--,Industrial Special Risks,Commercial Liability,Commercial Property,Commercial Motor,Personal Lines,Allianz Alive Commercial Motor,"Accident, Health and Travel",Marine,Public and Products Liability
